x	y	label
0.990391975	0.721225423	a
0.997336998	0.556088183	a
0.983878339	0.758376928	a
0.969039207	0.785841884	a
0.99739926	0.554908226	a
0.989635995	0.744697836	a
0.99527535	0.624795373	a
0.996750694	0.572841457	a
0.980839312	0.762196674	a
0.934870374	0.900558148	a
0.995971286	0.590438349	a
0.997426685	0.548564511	a
0.995971286	0.590438349	a
0.993392219	0.653012082	a
0.997476345	0.548023547	a
0.996565384	0.581338275	a
0.990391975	0.721225423	a
0.995685582	0.60553484	a
0.991817894	0.69856477	a
0.954325475	0.838310483	a
0.901210221	0.954712945	a
0.99777332	0.535666421	a
0.996750694	0.572841457	a
0.990391975	0.721225423	a
0.995971286	0.590438349	a
0.997203497	0.562420881	a
0.907910644	0.946411467	a
0.980721887	0.762201569	a
0.995685582	0.60553484	a
0.99527535	0.624795373	a
0.857079375	0.998354856	a
0.997336998	0.556088183	a
0.99739926	0.554908226	a
0.993392219	0.653012082	a
0.996565384	0.581338275	a
0.986013593	0.754207764	a
0.995971286	0.590438349	a
0.990391975	0.721225423	a
0.997476345	0.548023547	a
0.99777332	0.535666421	a
0.997203497	0.562420881	a
0.995685582	0.60553484	a
0.991817894	0.69856477	a
0.997772662	0.542265359	a
0.99777332	0.535666421	a
0.987276584	0.749447862	a
0.97195734	0.782268671	a
0.993392219	0.653012082	a
0.991817894	0.69856477	a
0.987980133	0.74840813	a
0.90337423	0.952580384	a
0.913594317	0.936933459	a
0.942714949	0.88291813	a
0.990391975	0.721225423	a
0.983950016	0.758352411	a
0.896699174	0.960866556	a
0.856047669	0.998958241	a
0.991817894	0.69856477	a
0.99739926	0.554908226	a
0.990391975	0.721225423	a
0.993392219	0.653012082	a
0.99777332	0.535666421	a
0.997958181	0.525969192	a
0.997772662	0.542265359	a
0.997203497	0.562420881	a
0.987408148	0.749437197	a
0.969929768	0.783918777	a
0.897609102	0.960569233	a
0.997336998	0.556088183	a
0.995685582	0.60553484	a
0.958824584	0.825527052	a
0.964473553	0.802249564	a
0.993392219	0.653012082	a
0.99527535	0.624795373	a
0.997476345	0.548023547	a
0.989250347	0.746316004	a
0.991817894	0.69856477	a
0.998071051	0.524156012	a
0.934870374	0.900558148	a
0.875505333	0.989601163	a
0.997772662	0.542265359	a
0.997336998	0.556088183	a
0.997476345	0.548023547	a
0.990391975	0.721225423	a
0.993392219	0.653012082	a
0.854224041	0.999130266	a
0.997476345	0.548023547	a
0.995685582	0.60553484	a
0.990391975	0.721225423	a
0.991817894	0.69856477	a
0.997203497	0.562420881	a
0.99527535	0.624795373	a
0.99739926	0.554908226	a
0.937150756	0.895865631	a
0.964848434	0.801182097	a
0.993392219	0.653012082	a
0.996565384	0.581338275	a
0.995685582	0.60553484	a
0.990391975	0.721225423	a
0.979095643	0.765953707	a
0.997772662	0.542265359	a
0.997203497	0.562420881	a
0.995971286	0.590438349	a
0.99739926	0.554908226	a
0.990391975	0.721225423	a
0.996750694	0.572841457	a
0.991817894	0.69856477	a
0.99777332	0.535666421	a
0.99527535	0.624795373	a
0.99527535	0.624795373	a
0.997203497	0.562420881	a
0.991817894	0.69856477	a
0.99739926	0.554908226	a
0.996565384	0.581338275	a
0.995971286	0.590438349	a
0.990391975	0.721225423	a
0.995685582	0.60553484	a
0.979514511	0.764784166	a
0.997336998	0.556088183	a
0.996750694	0.572841457	a
0.995685582	0.60553484	a
0.990391975	0.721225423	a
0.997336998	0.556088183	a
0.916664169	0.932006241	a
0.938773216	0.892087918	a
0.995971286	0.590438349	a
0.893699505	0.966789025	a
0.985537182	0.754962742	a
0.99527535	0.624795373	a
0.988008424	0.748038795	a
0.995971286	0.590438349	a
0.990391975	0.721225423	a
0.949291179	0.8544018	a
0.99527535	0.624795373	a
0.998226471	0.519502921	a
0.991817894	0.69856477	a
0.887978313	0.98063526	a
0.967217165	0.795053866	a
0.995685582	0.60553484	a
0.996844629	0.572386722	a
0.997336998	0.556088183	a
0.962839738	0.812032645	a
0.890601967	0.969843857	a
0.990391975	0.721225423	a
0.993392219	0.653012082	a
0.991817894	0.69856477	a
0.99527535	0.624795373	a
0.996750694	0.572841457	a
0.996565384	0.581338275	a
0.918998397	0.918032989	a
0.99739926	0.554908226	a
0.993392219	0.653012082	a
0.990391975	0.721225423	a
0.997909693	0.527388921	a
0.995685582	0.60553484	a
0.996565384	0.581338275	a
0.995790825	0.598605916	a
0.997203497	0.562420881	a
0.995971286	0.590438349	a
0.968467176	0.792627834	a
0.997476345	0.548023547	a
0.99777332	0.535666421	a
0.996750694	0.572841457	a
0.995429475	0.609369679	a
0.996565384	0.581338275	a
0.99527535	0.624795373	a
0.997476345	0.548023547	a
0.987255662	0.749456239	a
0.998208682	0.522779294	a
0.990391975	0.721225423	a
0.988310288	0.746991878	a
0.997336998	0.556088183	a
0.997476345	0.548023547	a
0.99777332	0.535666421	a
0.901012161	0.955036062	a
0.991817894	0.69856477	a
0.948153118	0.865700564	a
0.89459208	0.963263069	a
0.934135471	0.901750169	a
0.99739926	0.554908226	a
0.990391975	0.721225423	a
0.996565384	0.581338275	a
0.88828234	0.975031428	a
0.991817894	0.69856477	a
0.995971286	0.590438349	a
0.996565384	0.581338275	a
0.997203497	0.562420881	a
0.974387296	0.776276132	a
0.993392219	0.653012082	a
0.996565384	0.581338275	a
0.991817894	0.69856477	a
0.993400482	0.630164752	a
0.976841767	0.771073365	a
0.986826541	0.751408912	a
0.921062296	0.915392361	a
0.99739926	0.554908226	a
0.99527535	0.624795373	a
