x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
157;2;2.71752858193315;7.35480230256345;1000_IM-0003-1001;S;11;0.832459157654413;8403
2;2;7.47699931082917;7.90912127574812;1000_IM-0003-1001;S;11;0.692735996484538;8404
2;2;6.25329125238176;7.88465367088256;1000_IM-0003-1001;N;11;0.704042055491393;8405
2;2;4.81892505618032;7.84097759776753;1000_IM-0003-1001;S;11;0.724029048054385;8406
2;2;0;7.90943591537923;1000_IM-0003-1001;S;15;0.684564241971412;8407
2;7;0;7.9828511619824;1000_IM-0003-1001;N;15;0.61236061042438;8408
2;23;128;7.98618219911029;1000_IM-0003-1001;N;15;0.553813181503453;8409
2;53;0.896297270290454;7.04863805652854;1000_IM-0003-1001;S;15;0.969626900139981;8410
2;12;0;7.98592088168809;1000_IM-0003-1001;N;15;0.581581455418554;8411
25;8;0.402366548491557;6.67853445551142;1000_IM-0003-1001;S;15;0.99338678775791;8412
2;6;0;7.98106651170226;1000_IM-0003-1001;N;15;0.619182978244237;8413
2;2;1.92270349460924;7.46154368771781;1000_IM-0003-1001;N;15;0.896130906631394;8414
3;2;64;7.93671536544217;1000_IM-0003-1001;S;15;0.650731299590916;8415
7;3;1.81998334177415;7.21562471817627;1000_IM-0003-1001;S;15;0.909064809467124;8416
2;256;3.26680204404792;7.5866363321816;1000_IM-0003-1001;S;15;0.797693014445264;8417
2;3;1.82564172402041;7.4052577923202;1000_IM-0003-1001;S;15;0.902289224308707;8418
2;4;128;7.97209801905558;1000_IM-0003-1001;N;15;0.64248797143906;8419
5;2;0.0152772028322374;6.64916295353447;1000_IM-0003-1001;N;15;0.999942055348164;8420
2;2;9.72985900916422;7.90934119610349;1000_IM-0003-1001;S;15;0.684625139146029;8421
312;2;1.35712495117755;7.10820558972247;1000_IM-0003-1001;S;15;0.922205054499686;8422
2;3;64;7.96902166400668;1000_IM-0003-1001;N;15;0.645809809509489;8423
2;2;114.026394781211;7.90943591537923;1000_IM-0003-1001;S;19;0.684564241971412;8424
2;25;128;7.98669420134631;1000_IM-0003-1001;N;19;0.54831245062003;8425
2;187;3.14530007984729;7.58064470079022;1000_IM-0003-1001;S;19;0.800606741856124;8426
157;2;0.197770871224492;6.77076318731475;1000_IM-0003-1001;S;19;0.989755614756947;8427
2;134;1.21813034845128;7.1582021519604;1000_IM-0003-1001;S;19;0.940398711601469;8428
